epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,4548.38,0.43963,0.46106,0.26602,0.00136,0.07994,0.98487,0.98889,0.99184,0.93905,0.98487,0.98889,0.99184,0.89516,0.37909,0.46903,0.3527,0.00138,0,0.0004159,0.0004159,0.0004159
61,4621.9,0.39248,0.47385,0.26233,0.00122,0.06708,0.9695,0.98706,0.99091,0.93441,0.9695,0.98706,0.99091,0.89491,0.39508,0.49389,0.36131,0.00144,0,0.000406,0.000406,0.000406
62,4695.97,0.37226,0.39309,0.2513,0.00116,0.06701,0.98865,0.98533,0.99332,0.94529,0.98865,0.98533,0.99324,0.8977,0.34779,0.48405,0.3464,0.00126,0,0.0003961,0.0003961,0.0003961
63,4770.52,0.39754,0.37847,0.2429,0.00124,0.07851,0.97321,0.98615,0.99043,0.93507,0.97321,0.98615,0.99043,0.89993,0.3755,0.47391,0.35283,0.00137,0,0.0003862,0.0003862,0.0003862
64,4844.62,0.39322,0.48044,0.24769,0.00124,0.06058,0.97519,0.97273,0.99228,0.94748,0.97519,0.97273,0.99228,0.89795,0.37576,0.45831,0.36007,0.00133,0,0.0003763,0.0003763,0.0003763
65,4918.7,0.36262,0.35358,0.21535,0.00111,0.05883,0.98359,0.98844,0.99304,0.95209,0.98359,0.98844,0.99304,0.90327,0.36778,0.44555,0.34539,0.00133,0,0.0003664,0.0003664,0.0003664
66,4993.33,0.3827,0.40066,0.24033,0.0012,0.07728,0.9854,0.98759,0.99279,0.94945,0.9854,0.98759,0.99279,0.89964,0.3529,0.46528,0.3333,0.00129,0,0.0003565,0.0003565,0.0003565
67,5067.77,0.35705,0.42799,0.21544,0.00112,0.05547,0.98528,0.98338,0.9933,0.95127,0.98528,0.98338,0.9933,0.90002,0.39906,0.45065,0.33829,0.00151,0,0.0003466,0.0003466,0.0003466
68,5142.37,0.4004,0.39138,0.2323,0.00126,0.06705,0.98981,0.98209,0.99366,0.96568,0.98981,0.98209,0.99366,0.89514,0.34342,0.43373,0.30376,0.00132,0,0.0003367,0.0003367,0.0003367
69,5217.34,0.365,0.36891,0.2176,0.00112,0.05294,0.98935,0.98572,0.99409,0.95683,0.98935,0.98572,0.99409,0.91166,0.34136,0.43243,0.27319,0.00128,0,0.0003268,0.0003268,0.0003268
70,5291.23,0.3646,0.44434,0.22161,0.00109,0.06613,0.98892,0.98666,0.9947,0.96013,0.98892,0.98666,0.9947,0.90296,0.37214,0.4424,0.26836,0.00138,0,0.0003169,0.0003169,0.0003169
71,5364.76,0.3485,0.35428,0.21335,0.00112,0.06497,0.99417,0.98498,0.99476,0.95928,0.9923,0.98227,0.99437,0.91091,0.3455,0.42509,0.20298,0.00128,0,0.000307,0.000307,0.000307
